Title,Release Date,Playtime,Metascore,Developer,Publisher,Age Rating,Genre,Platforms
Dune II: Battle For Arrakis,"DEC 1, 1992",N/A,N/A,Virgin Interactive,N/A,"Dune: Spice Wars, Frank Herbert's Dune, Dune 2000: Long Live the Fighters!, Dune 2000, Dune, Dune Generations, Dune Awakening","Dec 1, 1992","Platforms
PC, Commodore / Amiga, Genesis"
"Pokémon Gold, Silver","NOV 21, 1999",AVERAGE PLAYTIME: 900 HOURS,N/A,Nintendo,N/A,"Pokémon Scarlet and Violet, Pokémon Brilliant Diamond, Shining Pearl, Pokémon Sword and Shield, Pokémon Sun, Moon, Pokémon Alpha Sapphire, Omega Ruby, Pokémon X, Y, Pokémon Black 2, White 2, Pokémon Black, White, Pokémon HeartGold, SoulSilver, Pokémon Diamond, Pearl, Pokémon Ruby, Sapphire, Emerald, Pokémon FireRed, LeafGreen, Pokémon Red, Blue, Yellow","Nov 21, 1999","Platforms
Nintendo 3DS, Game Boy, Game Boy Color"
Super Metroid,"MAR 19, 1994",AVERAGE PLAYTIME: 6 HOURS,N/A,Nintendo,N/A,"Metroid Dread, Metroid: Samus Returns, Metroid Prime: Federation Force, Metroid: Other M, Metroid Prime 3: Corruption, Metroid Prime Hunters, Metroid Prime 2: Echoes, Metroid: Zero Mission, Metroid Fusion, Metroid Prime, Metroid II - Return of Samus, Metroid, Metroid Prime 4","Mar 19, 1994","Platforms
Wii U, Nintendo 3DS, Wii, SNES"
The Legend of Zelda: A Link to the Past,"NOV 21, 1991",AVERAGE PLAYTIME: 28 HOURS,95,Nintendo,Nintendo,0+ Everyone,"Action, Adventure","Platforms
Wii, Game Boy Advance, SNES, Nintendo Switch, Nintendo 3DS, Wii U"
"Pokémon Red, Blue, Yellow","FEB 27, 1996",AVERAGE PLAYTIME: 33 HOURS,N/A,Nintendo,N/A,"Pokémon Scarlet and Violet, Pokémon Sword and Shield, Pokémon Sun, Moon, Pokémon X, Y, Pokémon Black 2, White 2, Pokémon Black, White, Pokémon HeartGold, SoulSilver, Pokémon Diamond, Pearl, Pokémon Ruby, Sapphire, Emerald, Pokémon FireRed, LeafGreen, Pokémon Gold, Silver","Feb 27, 1996","Platforms
Game Boy, Nintendo 3DS"
Planescape: Torment,"DEC 12, 1999",AVERAGE PLAYTIME: 2 HOURS,91,Black Isle Studios,Interplay Productions,13+ Teen,"RPG, Strategy","Platforms
PC"
STEINS;GATE,"AUG 25, 2009",AVERAGE PLAYTIME: 5 HOURS,87,MAGES,Spike Chunsoft Co,17+ Mature,"Adventure, RPG","Platforms
PS Vita, PSP, PlayStation 3, PC, iOS, Xbox 360, Android"
Mass Effect,"NOV 16, 2007",AVERAGE PLAYTIME: 9 HOURS,89,BioWare,Electronic Arts,17+ Mature,"Action, RPG","Platforms
Xbox One, Xbox 360, PlayStation 3, PC"
INSIDE,"JUN 28, 2016",AVERAGE PLAYTIME: 4 HOURS,87,Playdead,Playdead,13+ Teen,"Action, Adventure, Indie, Puzzle, Platformer","Platforms
Nintendo Switch, PC, iOS, macOS, Xbox One, PlayStation 4"
What Remains of Edith Finch,"APR 23, 2017",AVERAGE PLAYTIME: 3 HOURS,89,Annapurna Interactive,Annapurna Interactive,13+ Teen,"Adventure, Indie","Platforms
Xbox One, iOS, PC, Nintendo Switch, PlayStation 4"
Xenoblade Chronicles 3,"JUL 29, 2022",N/A,N/A,Nintendo,N/A,"Xenoblade Chronicles 2, Xenoblade Chronicles X, Xenoblade Chronicles, Xenosaga Episode III: Also sprach Zarathustra, Xenosaga I & II, Xenosaga Episode II: Jenseits von Gut und Bose, Xenosaga Episode I: Der Wille zur Macht, Xenogears (1998)","Jul 29, 2022","Platforms
Nintendo Switch"
Super Mario 3D World + Bowser’s Fury,"FEB 12, 2021",N/A,89,Nintendo,Nintendo,0+ Everyone,"Action, Platformer","Platforms
Nintendo Switch"
Your Turn To Die : Death game by Majority,"AUG 28, 2017",N/A,N/A,N/A,N/A,N/A,"Aug 28, 2017","Platforms
PC"
The Walking Dead: The Telltale Definitive Series,"SEP 10, 2019",AVERAGE PLAYTIME: 4 HOURS,84,Telltale Games,Skybound Games,Not rated,Adventure,"Platforms
PC, Xbox One, PlayStation 4"
"999: Nine Hours, Nine Persons, Nine Doors","NOV 16, 2010",N/A,N/A,Aksys Games Localization,N/A,"Zero Escape: Zero Time Dilemma, Zero Escape: Virtue's Last Reward","Nov 16, 2010","Platforms
PC, iOS, Nintendo DS, PS Vita"
Sonic the Hedgehog 3 (1994),"FEB 2, 1994",AVERAGE PLAYTIME: 3 HOURS,N/A,SEGA,N/A,"Sonic Colors: Ultimate, Team Sonic Racing, Sonic Forces, Sonic Mania, Sonic Boom: Fire & Ice, Sonic Runners, Sonic Boom: Shattered Crystal, Sonic Boom: Rise of Lyric, Sonic Jump Fever, Sonic Lost World, Sonic Dash, Sonic the Fighters, Sonic & All-Stars Racing Transformed, Sonic the Hedgehog 4 - Episode II, Sonic CD, Sonic Generations, Sonic Colors, SONIC FREE RIDERS, Sonic the Hedgehog 4 - Episode I, Dr. Robotnik’s Mean Bean Machine, Sonic & SEGA All-Stars Racing, Sonic Rivals 2, Sonic Rivals, Sonic and the Black Knight, Sonic Unleashed, Sonic Chronicles: The Dark Brotherhood, Sonic Jump 2, Sonic Riders: Zero Gravity, Sonic Rush Adventure, Sonic and the Secret Rings, Sonic The Hedgehog (2006), Sonic Riders, Sonic Rush, Shadow the Hedgehog, Sonic Jump, Sonic Advance 3, Sonic Heroes, Sonic Battle, Sonic Pinball Party, Sonic Advance 2","Feb 2, 1994","Platforms
Wii, Genesis, Xbox 360, PC, GameCube"
Skies of Arcadia,"OCT 5, 2000",N/A,93,SEGA,SEGA,13+ Teen,RPG,"Platforms
GameCube, Dreamcast"
Crash Team Racing,"SEP 30, 1999",N/A,88,Naughty Dog,Sony Computer Entertainment,Not rated,"Action, Racing","Platforms
PlayStation 3, PSP, PlayStation"
Pro Evolution Soccer 6,"OCT 27, 2006",AVERAGE PLAYTIME: 77 HOURS,N/A,Konami,N/A,"eFootball 2022, eFootball PES 2020, PRO EVOLUTION SOCCER 2019, Pro Evolution Soccer 2018, Pro Evolution Soccer 2017, Pro Evolution Soccer 2016, Pro Evolution Soccer 2015, Pro Evolution Soccer 2014, Pro Evolution Soccer 2013, Pro Evolution Soccer 2012, Pro Evolution Soccer 2011, Pro Evolution Soccer 2010, Pro Evolution Soccer 2009, Pro Evolution Soccer 2008, Pro Evolution Soccer 5, Pro Evolution Soccer 4, Pro Evolution Soccer 3, Pro Evolution Soccer 2, Pro Evolution Soccer","Oct 27, 2006","Platforms
PC, PlayStation 2"
Unreal Tournament,"NOV 22, 1999",AVERAGE PLAYTIME: 2 HOURS,92,Digital Extremes,GT Interactive Software,17+ Mature,"Action, Shooter","Platforms
Linux, PlayStation 2, Classic Macintosh, Dreamcast, PC"
The Secret of Monkey Island,"OCT 1, 1990",N/A,N/A,LucasArts Entertainment,N/A,"Return to Monkey Island, The Curse of Monkey Island, Monkey Island 2: LeChuck's Revenge","Oct 1, 1990","Platforms
macOS, PC, Atari ST, Classic Macintosh, SEGA CD, Commodore / Amiga"
Metroid: Zero Mission,"FEB 9, 2004",AVERAGE PLAYTIME: 4 HOURS,89,Nintendo,Nintendo,0+ Everyone,"Action, Platformer","Platforms
Game Boy Advance"
Golden Sun: The Lost Age,"APR 14, 2003",AVERAGE PLAYTIME: 68 HOURS,86,Camelot Software Planning,Nintendo,10+ Everyone 10+,RPG,"Platforms
Game Boy Advance"
Half-Life,"NOV 8, 1998",AVERAGE PLAYTIME: 3 HOURS,96,Valve Software,Valve,17+ Mature,"Action, Shooter","Platforms
Dreamcast, Linux, macOS, PC, PlayStation 2"
VA-11 Hall-A: Cyberpunk Bartender Action,"JUN 21, 2016",AVERAGE PLAYTIME: 5 HOURS,81,Sukeban Games,Limited Run Games,17+ Mature,"Adventure, Simulation","Platforms
Nintendo Switch, PC, macOS, Linux, PlayStation 4, PS Vita"
Call of Duty 4: Modern Warfare,"NOV 5, 2007",AVERAGE PLAYTIME: 6 HOURS,92,Raven Software,Square Enix,17+ Mature,"Action, Shooter","Platforms
Nintendo DS, PC, Xbox One, macOS, Wii, Xbox 360, PlayStation 3, PlayStation 4"
ROME: Total War,"SEP 22, 2004",AVERAGE PLAYTIME: 2 HOURS,88,Feral Interactive,SEGA,Not rated,"Strategy, Simulation","Platforms
PC, iOS, macOS, Android"
Geometry Dash RazorLeaf,"JUL 19, 2023",N/A,N/A,N/A,N/A,N/A,"Jul 19, 2023","Platforms
Android, PC"
Portal Reloaded,"APR 19, 2021",N/A,N/A,First-Person,N/A,N/A,"Apr 19, 2021","Platforms
PC"
Play with Gwen,"NOV 3, 2019",N/A,N/A,N/A,2D,N/A,"Nov 3, 2019","Platforms
Android"
Kunio-kun no Nekketsu Soccer League,"APR 23, 1993",N/A,N/A,Technos,N/A,"River City Girls 2, River City Saga: Three Kingdoms, STAY COOL, KOBAYASHI-SAN!: A RIVER CITY RANSOM STORY, River City Girls, River City: Rival Showdown, River City: Knights of Justice, River City Melee: Battle Royal Special, River City Ransom: Underground, River City: Tokyo Rumble, Downtown Nekketsu Jidaigeki, River City Super Sports Challenge ~All Stars Special~ Downtown Nekketsu, Riki Densetsu, River City Soccer Hooligans, River City Super Sports Challenge, River City Dodgeball All-Stars!!, Super Dodgeball Brawlers, Shin Nekketsu Kouha: Kunio Tachi no Banka, Nekketsu Kakutou Densetsu, River City Ransom 2, Crash 'n' the Boys: Street Challenge (1992), Nintendo World Cup, River City Ransom, Super Dodge Ball (1988), Renegade (1986)","Apr 23, 1993","Platforms
Atari 8-bit, NES"
ANOMALOUS COFFEE MACHINE,"AUG 11, 2024",N/A,N/A,Anime,N/A,N/A,"Aug 11, 2024","Platforms
Linux, macOS, Android, PC"
Baldur's Gate III,"AUG 3, 2023",AVERAGE PLAYTIME: 19 HOURS,97,Larian Studios,Larian Studios,17+ Mature,"Adventure, RPG, Strategy","Platforms
macOS, PC, Xbox Series S/X, PlayStation 5"
Grand Theft Auto: San Andreas,"OCT 26, 2004",AVERAGE PLAYTIME: 2 HOURS,93,Rockstar North,Capcom,17+ Mature,Action,"Platforms
macOS, PC, iOS, Xbox, Android, PlayStation 4, PlayStation 3, PlayStation 2, Xbox 360, Xbox One"
Mass Effect 2,"JAN 26, 2010",AVERAGE PLAYTIME: 22 HOURS,94,BioWare,Electronic Arts,17+ Mature,"Action, RPG","Platforms
PC, Xbox One, PlayStation 3, Xbox 360"
Grand Theft Auto V,"SEP 17, 2013",AVERAGE PLAYTIME: 74 HOURS,92,Rockstar North,Rockstar Games,17+ Mature,Action,"Platforms
PC, PlayStation 5, Xbox Series S/X, PlayStation 4, PlayStation 3, Xbox 360, Xbox One"
Disco Elysium,"OCT 14, 2019",AVERAGE PLAYTIME: 6 HOURS,91,ZA/UM,N/A,Disco Elysium: Final Cut,"Adventure, RPG, Indie","Platforms
PC, macOS, Xbox One, Nintendo Switch, PlayStation 4, Xbox Series S/X, PlayStation 5"
Alan Wake 2,"OCT 27, 2023",N/A,N/A,Epic Games Publishing,N/A,"Alan Wake's American Nightmare, Alan Wake","Oct 27, 2023","Platforms
Xbox Series S/X, PlayStation 5, PC"
Super Mario 64,"JUN 23, 1996",AVERAGE PLAYTIME: 12 HOURS,94,Nintendo,Nintendo,0+ Everyone,Platformer,"Platforms
Nintendo 64"
Ghost of Tsushima,"JUL 17, 2020",N/A,83,Sucker Punch Productions,Sony Interactive Entertainment,17+ Mature,"Action, Adventure, RPG","Platforms
PlayStation 4, PC, PlayStation 5"
Red Dead Redemption,"MAY 18, 2010",AVERAGE PLAYTIME: 6 HOURS,95,Rockstar North,Rockstar Games,17+ Mature,"Action, Shooter","Platforms
PC, Nintendo Switch, PlayStation 4, Xbox One, Xbox 360, PlayStation 3"
Assassin's Creed II,"NOV 17, 2009",AVERAGE PLAYTIME: 14 HOURS,89,Ubisoft Montreal,Ubisoft Entertainment,17+ Mature,Action,"Platforms
Xbox 360, PlayStation 3, Xbox One, PC, macOS, PlayStation 4"
Dark Souls III,"APR 11, 2016",AVERAGE PLAYTIME: 29 HOURS,89,BANDAI NAMCO Entertainment America,Bandai Namco Entertainment,17+ Mature,"Action, RPG","Platforms
Xbox One, PlayStation 4, PC"
Forest of the Blue Skin,"AUG 26, 2020",N/A,N/A,NSFW,N/A,N/A,"Aug 26, 2020","Platforms
PC"
Batman: Arkham City,"OCT 18, 2011",AVERAGE PLAYTIME: 20 HOURS,94,Rocksteady Studios,Warner Bros. Interactive,13+ Teen,Action,"Platforms
PlayStation 3, Nintendo Switch, macOS, PlayStation 4, Xbox One, PC, Xbox 360"
The Chronicles Of Myrtana: Archolos,"DEC 10, 2021",AVERAGE PLAYTIME: 125 HOURS,N/A,The Chronicles Of Myrtana Team,N/A,"role-playing, Gothic, gothic 2","Dec 10, 2021","Platforms
PC"
Castlevania: Aria of Sorrow,"MAY 6, 2003",N/A,91,Konami Digital Entertainment,Konami,13+ Teen,"Action, Platformer","Platforms
Game Boy Advance, Wii U"
God of War II,"MAR 13, 2007",AVERAGE PLAYTIME: 17 HOURS,93,SCE Studios Santa Monica,Sony Computer Entertainment,17+ Mature,Action,"Platforms
PlayStation 2, PS Vita, PlayStation 3"
Super Mario Galaxy,"NOV 1, 2007",AVERAGE PLAYTIME: 28 HOURS,97,Nintendo,Nintendo,0+ Everyone,Platformer,"Platforms
Wii"
Celeste,"JAN 25, 2018",AVERAGE PLAYTIME: 6 HOURS,91,Matt Makes Games,Matt Makes Games,10+ Everyone 10+,"Indie, Platformer","Platforms
Xbox One, PC, macOS, Nintendo Switch, PlayStation 4, Linux"
Katana ZERO,"APR 17, 2019",AVERAGE PLAYTIME: 5 HOURS,83,Askiisoft,Devolver Digital,Not rated,"Action, Indie, Platformer","Platforms
Xbox One, Nintendo Switch, macOS, PC"
The Wolf Among Us,"OCT 10, 2013",AVERAGE PLAYTIME: 9 HOURS,82,Telltale Games,Telltale Games,17+ Mature,Adventure,"Platforms
PS Vita, PlayStation 4, Xbox One, iOS, PC, Android, Xbox 360, macOS"
Fortnite Looping,"MAR 5, 2023",N/A,N/A,N/A,Third Person,N/A,"Mar 5, 2023","Platforms
Android, PC"
Proud Father,"JUL 28, 2020",N/A,N/A,Story,N/A,N/A,Westy20,"Platforms
PC, macOS"
Parasite In City,"DEC 12, 2018",N/A,N/A,Hentai Library,N/A,Singleplayer,"Dec 12, 2018","Platforms
PC"
House Designer: Fix & Flip,"AUG 17, 2018",AVERAGE PLAYTIME: 2 HOURS,N/A,Sergey Kizima,N/A,"Singleplayer, Steam Cloud, First-Person, Sandbox, Early Access, 3D, Realistic, Building, Management, Relaxing, Base Building, Economy, Education, Immersive Sim, fun, Life Sim, Design & Illustration, simulator, painting","Aug 17, 2018","Platforms
PC, iOS, Android"
Tetris Effect,"NOV 9, 2018",N/A,90,Enhance Games,N/A,Tetris Effect: Connected,Puzzle,"Platforms
PlayStation 4, PC"
Metroid Prime,"NOV 17, 2002",AVERAGE PLAYTIME: 2 HOURS,97,Retro Studios,Nintendo,Not rated,"Action, Shooter, Adventure","Platforms
Wii, GameCube"
Phoenix Wright: Ace Attorney − Justice for All,"OCT 22, 2002",N/A,76,Capcom Production Studio 4,Capcom,13+ Teen,Adventure,"Platforms
PC, Game Boy Advance, Android, Wii, Nintendo DS, iOS"
Castlevania: Symphony of the Night,"MAR 20, 1997",AVERAGE PLAYTIME: 19 HOURS,93,Sony Interactive Entertainment,Konami,Not rated,"Action, Adventure","Platforms
SEGA Saturn, PlayStation, Android, Xbox 360, iOS"
Space Rangers 2: Rise of the Dominators,"NOV 26, 2004",N/A,N/A,Excalibur Publishing,N/A,"Space Rangers: Quest, Space Rangers, Mighty Morphin Power Rangers","Nov 26, 2004","Platforms
PC"
Heroes of Might and Magic 3: The Restoration of Erathia,"MAR 3, 1999",N/A,N/A,The 3DO Company,N/A,"Might & Magic Heroes VII, Might & Magic: Heroes VI, Might and Magic Clash of Heroes, Heroes of Might and Magic V, Heroes of Might and Magic 4, Heroes of Might and Magic: Quest for the Dragon Bone Staff, Heroes of Might and Magic 2: The Succession Wars, Heroes of Might and Magic: A Strategic Quest","Mar 3, 1999","Platforms
PC"
Command & Conquer: Red Alert 2,"OCT 26, 2000",AVERAGE PLAYTIME: 1 HOUR,84,Westwood Studios,Electronic Arts,13+ Teen,Strategy,"Platforms
PC"
Donkey Kong Country,"NOV 21, 1994",AVERAGE PLAYTIME: 6 HOURS,N/A,Nintendo,N/A,"Donkey Kong Country: Tropical Freeze, Donkey Kong Country Returns, Donkey Kong: Barrel Blast, Donkey Kong: Jungle Climber, DK: King of Swing, Donkey Kong Jungle Beat, Donkey Konga, Donkey Kong 64, Donkey Kong Country 3: Dixie Kong's Double Trouble, Donkey Kong Country 2: Diddy's Kong Quest, Donkey Kong 3, Donkey Kong Jr., Donkey Kong","Nov 21, 1994","Platforms
Wii U, Nintendo 3DS, Wii, Game Boy Advance, Game Boy Color, SNES"
Muramasa: The Demon Blade,"SEP 8, 2009",N/A,N/A,Marvelous Entertainment,N/A,Muramasa Rebirth,"Sep 8, 2009","Platforms
Wii"
Super Mario World,"NOV 21, 1990",AVERAGE PLAYTIME: 6 HOURS,92,Nintendo,Nintendo,0+ Everyone,"Arcade, Platformer","Platforms
SNES"
Bayonetta 2,"SEP 20, 2014",N/A,92,Platinum Games,Nintendo,17+ Mature,Action,"Platforms
Wii U, Nintendo Switch"
Ori and the Blind Forest,"MAR 10, 2015",AVERAGE PLAYTIME: 6 HOURS,88,Moon Studios,Microsoft Studios,0+ Everyone,"Adventure, Platformer","Platforms
Xbox 360, Xbox One, PC"
Factorio,"AUG 14, 2020",AVERAGE PLAYTIME: 20 HOURS,83,Wube Software,Wube Software,Not rated,"Strategy, Simulation, Casual, Indie","Platforms
Linux, macOS, PC, Nintendo Switch"
Danganronpa 2: Goodbye Despair,"JUL 26, 2012",AVERAGE PLAYTIME: 27 HOURS,84,Abstraction Games,Spike Chunsoft Co,17+ Mature,"Adventure, Casual","Platforms
PS Vita, PSP, iOS, PC, macOS, Linux, PlayStation 4"
Cataclysm: Dark Days Ahead,"DEC 9, 2015",AVERAGE PLAYTIME: 4 HOURS,N/A,Ming Jen Tai,N/A,"Singleplayer, RPG, Story Rich, 2D, Sci-fi, Horror, Exploration, Sandbox, Survival, Pixel Graphics, Dark, Zombies, Moddable, Post-apocalyptic, combat, Roguelike, Aliens, character, Immersive Sim, explore, Monsters, Modern, Постапокалипсис, fire, Transhumanism, food, construct, Traditional Roguelike, GitHub","Dec 9, 2015","Platforms
Linux, PC, Android, iOS"
The Case of the Golden Idol,"OCT 13, 2022",AVERAGE PLAYTIME: 6 HOURS,N/A,PlayStack,N/A,"The Rise of the Golden Idol, Golden Idol Mysteries: Game + DLC Bundle","Oct 13, 2022","Platforms
PC"
Deltarune,"OCT 30, 2018",N/A,81,8-4,8-4,Not rated,"Adventure, RPG","Platforms
macOS, Nintendo Switch, PlayStation 4, PC"
Stellar Blade,"APR 26, 2024",N/A,N/A,SHIFT UP,N/A,http://www.shiftup.co.kr/eve/,"Apr 26, 2024","Platforms
PlayStation 5"
13 Sentinels: Aegis Rim,"NOV 28, 2019",N/A,86,VanillaWare,Atlus,13+ Teen,"Adventure, RPG, Simulation","Platforms
PlayStation 4, Nintendo Switch, PlayStation 5"
Sayonara Wild Hearts,"SEP 19, 2019",AVERAGE PLAYTIME: 2 HOURS,85,Simogo,Annapurna Interactive,10+ Everyone 10+,"Action, Casual, Indie","Platforms
iOS, PlayStation 4, Xbox One, Nintendo Switch, macOS, PC"
Super Smash Bros. Ultimate,"DEC 7, 2018",N/A,93,Nintendo,Nintendo,Not rated,Fighting,"Platforms
Nintendo Switch"
Super Smash Bros. Melee,"NOV 21, 2001",N/A,92,HAL Laboratory,Nintendo,10+ Everyone 10+,"Action, Fighting","Platforms
GameCube"
Battletoads & Double Dragon,"DEC 1, 1993",N/A,N/A,Sony Computer Entertainment,N/A,"Battletoads (2020), Battletoads Arcade, Battletoads in Battlemaniacs, Battletoads","Dec 1, 1993","Platforms
Genesis, Game Boy, NES, SNES"
Tetris (1984),"JUN 6, 1984",N/A,N/A,SEGA,N/A,"Singleplayer, Multiplayer","Jun 6, 1984","Platforms
Atari 2600, Atari ST, NES, SNES, Commodore / Amiga, Genesis, Game Boy"
The Lord of the Rings: The Battle for Middle-earth 2,"FEB 28, 2006",N/A,N/A,Electronic Arts,N/A,"The Lord of the Rings: The Battle for Middle-earth, The Lord of the Rings: War of the Ring","Feb 28, 2006","Platforms
Xbox 360, PC"
Mafia: The City of Lost Heaven,"AUG 28, 2002",AVERAGE PLAYTIME: 2 HOURS,88,Illusion Softworks,2K Games,17+ Mature,Action,"Platforms
Xbox, PlayStation 2, PC"
Pharaoh,"OCT 1, 1999",AVERAGE PLAYTIME: 1 HOUR,N/A,Sierra On-Line,N/A,N/A,"Oct 1, 1999","Platforms
PC"
